run,recipe,optional,pieces_per_run,grams_per_run,minutes_per_run,file
68,Q_CLICK_KEY_FULL,False,8,26.9,86.42,sliced/Q_CLICK_KEY_FULL/Q_CLICK_KEY_FULL_A1Mini_PETG.3mf
69,Q_CLICK_KEY_FULL,False,8,26.9,86.42,sliced/Q_CLICK_KEY_FULL/Q_CLICK_KEY_FULL_A1Mini_PETG.3mf
70,Q_CLICK_KEY_FULL,False,8,26.9,86.42,sliced/Q_CLICK_KEY_FULL/Q_CLICK_KEY_FULL_A1Mini_PETG.3mf
71,Q_CLICK_KEY_FULL,False,8,26.9,86.42,sliced/Q_CLICK_KEY_FULL/Q_CLICK_KEY_FULL_A1Mini_PETG.3mf
72,Q_CLICK_KEY_FULL,False,8,26.9,86.42,sliced/Q_CLICK_KEY_FULL/Q_CLICK_KEY_FULL_A1Mini_PETG.3mf
73,Q_CLICK_KEY_FULL,False,8,26.9,86.42,sliced/Q_CLICK_KEY_FULL/Q_CLICK_KEY_FULL_A1Mini_PETG.3mf
74,Q_CLICK_KEY_FULL,False,8,26.9,86.42,sliced/Q_CLICK_KEY_FULL/Q_CLICK_KEY_FULL_A1Mini_PETG.3mf
75,Q_CLICK_KEY_FULL,False,8,26.9,86.42,sliced/Q_CLICK_KEY_FULL/Q_CLICK_KEY_FULL_A1Mini_PETG.3mf
76,Q_CLICK_KEY_FULL,False,8,26.9,86.42,sliced/Q_CLICK_KEY_FULL/Q_CLICK_KEY_FULL_A1Mini_PETG.3mf
77,Q_CLICK_KEY_FULL,False,8,26.9,86.42,sliced/Q_CLICK_KEY_FULL/Q_CLICK_KEY_FULL_A1Mini_PETG.3mf
78,Q_CLICK_KEY_FULL,False,8,26.9,86.42,sliced/Q_CLICK_KEY_FULL/Q_CLICK_KEY_FULL_A1Mini_PETG.3mf
79,Q_CLICK_KEY_FULL,False,8,26.9,86.42,sliced/Q_CLICK_KEY_FULL/Q_CLICK_KEY_FULL_A1Mini_PETG.3mf
80,Q_CLICK_KEY_FULL,False,8,26.9,86.42,sliced/Q_CLICK_KEY_FULL/Q_CLICK_KEY_FULL_A1Mini_PETG.3mf
81,Q_CLICK_KEY_FULL,False,8,26.9,86.42,sliced/Q_CLICK_KEY_FULL/Q_CLICK_KEY_FULL_A1Mini_PETG.3mf
82,Q_CLICK_KEY_FULL,False,8,26.9,86.42,sliced/Q_CLICK_KEY_FULL/Q_CLICK_KEY_FULL_A1Mini_PETG.3mf
83,Q_CLICK_KEY_FULL,False,8,26.9,86.42,sliced/Q_CLICK_KEY_FULL/Q_CLICK_KEY_FULL_A1Mini_PETG.3mf
84,Q_CLICK_KEY_FULL,False,8,26.9,86.42,sliced/Q_CLICK_KEY_FULL/Q_CLICK_KEY_FULL_A1Mini_PETG.3mf
85,Q_CLICK_KEY_FULL,False,8,26.9,86.42,sliced/Q_CLICK_KEY_FULL/Q_CLICK_KEY_FULL_A1Mini_PETG.3mf
86,Q_CLICK_KEY_FULL,False,8,26.9,86.42,sliced/Q_CLICK_KEY_FULL/Q_CLICK_KEY_FULL_A1Mini_PETG.3mf
87,Q_CLICK_KEY_FULL,False,8,26.9,86.42,sliced/Q_CLICK_KEY_FULL/Q_CLICK_KEY_FULL_A1Mini_PETG.3mf
88,Q_CLICK_KEY_FULL,False,8,26.9,86.42,sliced/Q_CLICK_KEY_FULL/Q_CLICK_KEY_FULL_A1Mini_PETG.3mf
89,Q_CLICK_KEY_FULL,False,8,26.9,86.42,sliced/Q_CLICK_KEY_FULL/Q_CLICK_KEY_FULL_A1Mini_PETG.3mf
90,Q_CLICK_KEY_FULL,False,8,26.9,86.42,sliced/Q_CLICK_KEY_FULL/Q_CLICK_KEY_FULL_A1Mini_PETG.3mf
91,Q_PAPER_PAD_FULL,True,36,53.56,139.79,sliced/Q_PAPER_PAD_FULL/Q_PAPER_PAD_FULL_A1Mini_PETG.3mf
92,Q_PAPER_PAD_FULL,True,36,53.56,139.79,sliced/Q_PAPER_PAD_FULL/Q_PAPER_PAD_FULL_A1Mini_PETG.3mf
93,Q_PAPER_PAD_FULL,True,36,53.56,139.79,sliced/Q_PAPER_PAD_FULL/Q_PAPER_PAD_FULL_A1Mini_PETG.3mf
94,Q_PAPER_PAD_TAIL,True,28,41.68,110.31,sliced/Q_PAPER_PAD_TAIL/Q_PAPER_PAD_TAIL_A1Mini_PETG.3mf
95,Q_RUNG_SLEEVE_FULL,False,3,148.1,349.14,sliced/Q_RUNG_SLEEVE_FULL/Q_RUNG_SLEEVE_FULL_A1Mini_PETG.3mf
96,Q_RUNG_SLEEVE_FULL,False,3,148.1,349.14,sliced/Q_RUNG_SLEEVE_FULL/Q_RUNG_SLEEVE_FULL_A1Mini_PETG.3mf
97,Q_RUNG_SLEEVE_FULL,False,3,148.1,349.14,sliced/Q_RUNG_SLEEVE_FULL/Q_RUNG_SLEEVE_FULL_A1Mini_PETG.3mf
98,Q_RUNG_SLEEVE_FULL,False,3,148.1,349.14,sliced/Q_RUNG_SLEEVE_FULL/Q_RUNG_SLEEVE_FULL_A1Mini_PETG.3mf
99,Q_RUNG_SLEEVE_FULL,False,3,148.1,349.14,sliced/Q_RUNG_SLEEVE_FULL/Q_RUNG_SLEEVE_FULL_A1Mini_PETG.3mf
100,Q_RUNG_SLEEVE_TAIL,False,1,49.41,140.09,sliced/Q_RUNG_SLEEVE_TAIL/Q_RUNG_SLEEVE_TAIL_A1Mini_PETG.3mf
101,Q_V_BLOCK_FULL,False,12,194.42,440.85,sliced/Q_V_BLOCK_FULL/Q_V_BLOCK_FULL_A1Mini_PETG.3mf
102,Q_V_BLOCK_FULL,False,12,194.42,440.85,sliced/Q_V_BLOCK_FULL/Q_V_BLOCK_FULL_A1Mini_PETG.3mf
103,Q_V_BLOCK_TAIL,False,8,129.64,297.05,sliced/Q_V_BLOCK_TAIL/Q_V_BLOCK_TAIL_A1Mini_PETG.3mf
104,Q_CROSS_PLATE_FULL,False,4,70.76,154.7,sliced/Q_CROSS_PLATE_FULL/Q_CROSS_PLATE_FULL_A1Mini_PETG.3mf
105,Q_CROSS_PLATE_FULL,False,4,70.76,154.7,sliced/Q_CROSS_PLATE_FULL/Q_CROSS_PLATE_FULL_A1Mini_PETG.3mf
