recipe,runs,pieces_per_run,grams_per_run,minutes_per_run,file
ONE_ELBOW,2,1,68.47,161.49,sliced/ONE_ELBOW/ONE_ELBOW_A1Mini_PETG.3mf
ONE_TEE,8,1,98.49,226.45,sliced/ONE_TEE/ONE_TEE_A1Mini_PETG.3mf
ONE_CROSS,4,1,132.59,304.23,sliced/ONE_CROSS/ONE_CROSS_A1Mini_PETG.3mf
ONE_GUY_ELBOW,2,1,77.39,182.61,sliced/ONE_GUY_ELBOW/ONE_GUY_ELBOW_A1Mini_PETG.3mf
BATCH_MAG_SLEEVE,6,7,96.74,267.66,sliced/BATCH_MAG_SLEEVE/BATCH_MAG_SLEEVE_A1Mini_PETG.3mf
TAIL_MAG_SLEEVE_6,1,6,82.93,231.02,sliced/TAIL_MAG_SLEEVE_6/TAIL_MAG_SLEEVE_6_A1Mini_PETG.3mf
