recipe,runs,pieces_per_run,grams_per_run,minutes_per_run,file
ONE_ELBOW,2,1,68.47,161.49,sliced/ONE_ELBOW/ONE_ELBOW_A1Mini_PETG.3mf
ONE_TEE,12,1,98.49,226.45,sliced/ONE_TEE/ONE_TEE_A1Mini_PETG.3mf
ONE_CROSS,8,1,132.59,304.23,sliced/ONE_CROSS/ONE_CROSS_A1Mini_PETG.3mf
ONE_DUAL_GUY_ELBOW,2,1,103.06,239.68,sliced/ONE_DUAL_GUY_ELBOW/ONE_DUAL_GUY_ELBOW_A1Mini_PETG.3mf
BATCH_MAG_SLEEVE,11,7,96.74,267.66,sliced/BATCH_MAG_SLEEVE/BATCH_MAG_SLEEVE_A1Mini_PETG.3mf
TAIL_MAG_SLEEVE_3,1,3,41.5,124.38,sliced/TAIL_MAG_SLEEVE_3/TAIL_MAG_SLEEVE_3_A1Mini_PETG.3mf
