recipe,runs,pieces_per_run,grams_per_run,minutes_per_run,file
ONE_OUTER_90_45,4,1,103.26,236.52,sliced/ONE_OUTER_90_45/ONE_OUTER_90_45_A1Mini_PETG.3mf
ONE_STACK_TEE,10,1,113.35,262.68,sliced/ONE_STACK_TEE/ONE_STACK_TEE_A1Mini_PETG.3mf
BATCH_EDGE_SLEEVE,5,14,150.87,412.07,sliced/BATCH_EDGE_SLEEVE/BATCH_EDGE_SLEEVE_A1Mini_PETG.3mf
TAIL_EDGE_SLEEVE_4,1,4,43.16,131.22,sliced/TAIL_EDGE_SLEEVE_4/TAIL_EDGE_SLEEVE_4_A1Mini_PETG.3mf
ONE_INNER_90_45,4,1,102.44,234.13,sliced/ONE_INNER_90_45/ONE_INNER_90_45_A1Mini_PETG.3mf
TAIL_CORD_SADDLE_16,1,16,59.76,169.5,sliced/TAIL_CORD_SADDLE_16/TAIL_CORD_SADDLE_16_A1Mini_PETG.3mf
