pair,x_from_left_mm,y_from_bottom_mm,printed_backing,front
1,18.0,18.0,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
2,2682.0,18.0,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
3,2682.0,2682.0,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
4,18.0,2682.0,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
5,375.0,18.0,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
6,700.0,18.0,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
7,1025.0,18.0,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
8,1350.0,18.0,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
9,1675.0,18.0,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
10,2000.0,18.0,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
11,2325.0,18.0,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
12,375.0,2682.0,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
13,700.0,2682.0,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
14,1025.0,2682.0,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
15,1350.0,2682.0,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
16,1675.0,2682.0,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
17,2000.0,2682.0,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
18,2325.0,2682.0,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
19,591.6,591.6,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
20,2108.4,591.6,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
21,2108.4,2108.4,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
22,591.6,2108.4,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
23,875.76,591.6,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
24,1191.92,591.6,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
25,1508.08,591.6,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
26,1824.24,591.6,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
27,875.76,2108.4,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
28,1191.92,2108.4,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
29,1508.08,2108.4,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
30,1824.24,2108.4,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
31,591.6,875.76,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
32,591.6,1191.92,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
33,591.6,1508.08,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
34,591.6,1824.24,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
35,2108.4,875.76,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
36,2108.4,1191.92,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
37,2108.4,1508.08,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
38,2108.4,1824.24,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
39,18.0,375.0,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
40,18.0,700.0,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
41,18.0,1025.0,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
42,18.0,1350.0,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
43,18.0,1675.0,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
44,18.0,2000.0,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
45,18.0,2325.0,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
46,2682.0,375.0,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
47,2682.0,700.0,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
48,2682.0,1025.0,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
49,2682.0,1350.0,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
50,2682.0,1675.0,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
51,2682.0,2000.0,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
52,2682.0,2325.0,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
53,18,591.6,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
54,209.2,591.6,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
55,400.4,591.6,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
56,2682.0,591.6,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
57,2299.6,591.6,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
58,2490.8,591.6,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
59,18,2108.4,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
60,209.2,2108.4,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
61,400.4,2108.4,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
62,2682.0,2108.4,Integral pocket at exact XY; rear-loaded magnet behind .4 mm plastic,Bare 6 x 2 magnet; pad optional
