x_mm,y_mm
18.0,18.0
172.8,18.0
286.8,18.0
1122.8,18.0
1236.8,18.0
1391.6,18.0
18.0,286.8
18.0,172.8
286.8,286.8
1122.8,286.8
1391.6,172.8
1391.6,286.8
18.0,1236.8
18.0,1122.8
286.8,1122.8
1122.8,1122.8
1391.6,1122.8
1391.6,1236.8
90.0,1391.6
18.0,1319.6
18.0,1391.6
286.8,1391.6
172.8,1391.6
1236.8,1391.6
1122.8,1391.6
1391.6,1319.6
1319.6,1391.6
1391.6,1391.6
565.4667,18.0
844.1333,18.0
565.4667,286.8
844.1333,286.8
565.4667,1122.8
844.1333,1122.8
565.4667,1391.6
844.1333,1391.6
18.0,565.4667
18.0,844.1333
286.8,565.4667
286.8,844.1333
1122.8,565.4667
1122.8,844.1333
1391.6,565.4667
1391.6,844.1333
