name,length_mm,sleeve_count,sleeves_from_cut_start_mm,maximum_magnet_gap_mm
N00_N10,389.6,1,[137.8],229.8
N10_N20,880.0,2,"[300.667, 579.333]",278.667
N20_N30,389.6,1,[251.8],229.8
N01_N11,389.6,1,[194.8],286.8
N11_N21,880.0,2,"[300.667, 579.333]",278.667
N21_N31,389.6,1,[194.8],286.8
N02_N12,389.6,1,[194.8],286.8
N12_N22,880.0,2,"[300.667, 579.333]",278.667
N22_N32,389.6,1,[194.8],286.8
N03_N13,389.6,1,[173.8],193.8
N13_N23,880.0,2,"[300.667, 579.333]",278.667
N23_N33,389.6,1,[215.8],193.8
N00_N01,389.6,1,[137.8],229.8
N01_N02,880.0,2,"[300.667, 579.333]",278.667
N02_N03,389.6,1,[215.8],193.8
N10_N11,389.6,1,[194.8],286.8
N11_N12,880.0,2,"[300.667, 579.333]",278.667
N12_N13,389.6,1,[194.8],286.8
N20_N21,389.6,1,[194.8],286.8
N21_N22,880.0,2,"[300.667, 579.333]",278.667
N22_N23,389.6,1,[194.8],286.8
N30_N31,389.6,1,[137.8],229.8
N31_N32,880.0,2,"[300.667, 579.333]",278.667
N32_N33,389.6,1,[215.8],193.8
