stick,pipe,length_mm
1,N10_N20,1080.0
1,N11_N21,1080.0
1,N00_N10,84.8
1,N20_N30,84.8
1,N01_N11,84.8
1,N21_N31,84.8
1,N02_N12,84.8
1,N22_N32,84.8
1,N03_N13,84.8
1,N23_N33,84.8
1,N00_N01,84.8
2,N12_N22,1080.0
2,N13_N23,1080.0
2,N02_N03,84.8
2,N10_N11,84.8
2,N12_N13,84.8
2,N20_N21,84.8
2,N22_N23,84.8
2,N30_N31,84.8
2,N32_N33,84.8
3,N01_N02,1080.0
3,N11_N12,1080.0
4,N21_N22,1080.0
4,N31_N32,1080.0
