stick,long_quantity,long_length_mm,short_quantity,short_length_mm,finished_pipe_total_mm,end_cleanup_reserve_mm,extra_cut_allowance_mm,spare_after_reserve_mm
1,3,880,1,389.6,3029.6,10,0,8.4
2,3,880,1,389.6,3029.6,10,0,8.4
3,1,880,5,389.6,2828.0,10,0,210.0
4,1,880,5,389.6,2828.0,10,0,210.0
5,0,880,4,389.6,1558.4,10,0,1479.6
