x_mm,y_mm
18.0,18.0
325.2,18.0
439.2,18.0
1475.2,18.0
1589.2,18.0
1896.4,18.0
18.0,439.2
18.0,325.2
439.2,439.2
1475.2,439.2
1896.4,325.2
1896.4,439.2
18.0,1589.2
18.0,1475.2
439.2,1475.2
1475.2,1475.2
1896.4,1475.2
1896.4,1589.2
90.0,1896.4
18.0,1824.4
18.0,1896.4
439.2,1896.4
325.2,1896.4
1589.2,1896.4
1475.2,1896.4
1896.4,1824.4
1824.4,1896.4
1896.4,1896.4
784.5333,18.0
1129.8667,18.0
228.6,439.2
784.5333,439.2
1129.8667,439.2
1685.8,439.2
228.6,1475.2
784.5333,1475.2
1129.8667,1475.2
1685.8,1475.2
784.5333,1896.4
1129.8667,1896.4
18.0,784.5333
18.0,1129.8667
439.2,228.6
439.2,784.5333
439.2,1129.8667
439.2,1685.8
1475.2,228.6
1475.2,784.5333
1475.2,1129.8667
1475.2,1685.8
1896.4,784.5333
1896.4,1129.8667
