stick,long_quantity,long_length_mm,short_quantity,short_length_mm,finished_pipe_total_mm,end_cleanup_reserve_mm,extra_cut_allowance_mm,spare_after_reserve_mm
1,2,1080,3,237.2,2871.6,10,0,166.4
2,2,1080,3,237.2,2871.6,10,0,166.4
3,2,1080,3,237.2,2871.6,10,0,166.4
4,2,1080,3,237.2,2871.6,10,0,166.4
5,0,1080,4,237.2,948.8,10,0,2089.2
