stick,long_quantity,long_length_mm,short_quantity,short_length_mm,finished_pipe_total_mm,end_cleanup_reserve_mm,extra_cut_allowance_mm,spare_after_reserve_mm
1,2,1080,2,389.6,2939.2,10,0,98.8
2,2,1080,2,389.6,2939.2,10,0,98.8
3,2,1080,2,389.6,2939.2,10,0,98.8
4,1,1080,5,389.6,3028.0,10,0,10.0
5,1,1080,5,389.6,3028.0,10,0,10.0
