x_mm,y_mm
18.0,18.0
325.2,18.0
439.2,18.0
1275.2,18.0
1389.2,18.0
1696.4,18.0
18.0,439.2
18.0,325.2
439.2,439.2
1275.2,439.2
1696.4,325.2
1696.4,439.2
18.0,1389.2
18.0,1275.2
439.2,1275.2
1275.2,1275.2
1696.4,1275.2
1696.4,1389.2
90.0,1696.4
18.0,1624.4
18.0,1696.4
439.2,1696.4
325.2,1696.4
1389.2,1696.4
1275.2,1696.4
1696.4,1624.4
1624.4,1696.4
1696.4,1696.4
717.8667,18.0
996.5333,18.0
228.6,439.2
717.8667,439.2
996.5333,439.2
1485.8,439.2
228.6,1275.2
717.8667,1275.2
996.5333,1275.2
1485.8,1275.2
717.8667,1696.4
996.5333,1696.4
18.0,717.8667
18.0,996.5333
439.2,228.6
439.2,717.8667
439.2,996.5333
439.2,1485.8
1275.2,228.6
1275.2,717.8667
1275.2,996.5333
1275.2,1485.8
1696.4,717.8667
1696.4,996.5333
