stick,pipe,length_mm
1,N10_N20,1080.0
1,N11_N21,1080.0
1,N00_N10,237.2
1,N20_N30,237.2
1,N01_N11,237.2
2,N12_N22,1080.0
2,N13_N23,1080.0
2,N21_N31,237.2
2,N02_N12,237.2
2,N22_N32,237.2
3,N01_N02,1080.0
3,N11_N12,1080.0
3,N03_N13,237.2
3,N23_N33,237.2
3,N00_N01,237.2
4,N21_N22,1080.0
4,N31_N32,1080.0
4,N02_N03,237.2
4,N10_N11,237.2
4,N12_N13,237.2
5,N20_N21,237.2
5,N22_N23,237.2
5,N30_N31,237.2
5,N32_N33,237.2
