x_mm,y_mm
18.0,18.0
477.6,18.0
591.6,18.0
1627.6,18.0
1741.6,18.0
2201.2,18.0
18.0,591.6
18.0,477.6
591.6,591.6
1627.6,591.6
2201.2,477.6
2201.2,591.6
18.0,1741.6
18.0,1627.6
591.6,1627.6
1627.6,1627.6
2201.2,1627.6
2201.2,1741.6
90.0,2201.2
18.0,2129.2
18.0,2201.2
591.6,2201.2
477.6,2201.2
1741.6,2201.2
1627.6,2201.2
2201.2,2129.2
2129.2,2201.2
2201.2,2201.2
247.8,18.0
936.9333,18.0
1282.2667,18.0
1971.4,18.0
304.8,591.6
936.9333,591.6
1282.2667,591.6
1914.4,591.6
304.8,1627.6
936.9333,1627.6
1282.2667,1627.6
1914.4,1627.6
283.8,2201.2
936.9333,2201.2
1282.2667,2201.2
1935.4,2201.2
18.0,247.8
18.0,936.9333
18.0,1282.2667
18.0,1935.4
591.6,304.8
591.6,936.9333
591.6,1282.2667
591.6,1914.4
1627.6,304.8
1627.6,936.9333
1627.6,1282.2667
1627.6,1914.4
2201.2,247.8
2201.2,936.9333
2201.2,1282.2667
2201.2,1935.4
