name,length_mm,sleeve_count,sleeves_from_cut_start_mm,maximum_magnet_gap_mm
N00_N10,237.2,0,[],307.2
N10_N20,880.0,2,"[300.667, 579.333]",278.667
N20_N30,237.2,0,[],307.2
N01_N11,237.2,1,[118.6],210.6
N11_N21,880.0,2,"[300.667, 579.333]",278.667
N21_N31,237.2,1,[118.6],210.6
N02_N12,237.2,1,[118.6],210.6
N12_N22,880.0,2,"[300.667, 579.333]",278.667
N22_N32,237.2,1,[118.6],210.6
N03_N13,237.2,0,[],235.2
N13_N23,880.0,2,"[300.667, 579.333]",278.667
N23_N33,237.2,0,[],235.2
N00_N01,237.2,0,[],307.2
N01_N02,880.0,2,"[300.667, 579.333]",278.667
N02_N03,237.2,0,[],235.2
N10_N11,237.2,1,[118.6],210.6
N11_N12,880.0,2,"[300.667, 579.333]",278.667
N12_N13,237.2,1,[118.6],210.6
N20_N21,237.2,1,[118.6],210.6
N21_N22,880.0,2,"[300.667, 579.333]",278.667
N22_N23,237.2,1,[118.6],210.6
N30_N31,237.2,0,[],307.2
N31_N32,880.0,2,"[300.667, 579.333]",278.667
N32_N33,237.2,0,[],235.2
