x_mm,y_mm
18.0,18.0
172.8,18.0
286.8,18.0
1322.8,18.0
1436.8,18.0
1591.6,18.0
18.0,286.8
18.0,172.8
286.8,286.8
1322.8,286.8
1591.6,172.8
1591.6,286.8
18.0,1436.8
18.0,1322.8
286.8,1322.8
1322.8,1322.8
1591.6,1322.8
1591.6,1436.8
90.0,1591.6
18.0,1519.6
18.0,1591.6
286.8,1591.6
172.8,1591.6
1436.8,1591.6
1322.8,1591.6
1591.6,1519.6
1519.6,1591.6
1591.6,1591.6
632.1333,18.0
977.4667,18.0
632.1333,286.8
977.4667,286.8
632.1333,1322.8
977.4667,1322.8
632.1333,1591.6
977.4667,1591.6
18.0,632.1333
18.0,977.4667
286.8,632.1333
286.8,977.4667
1322.8,632.1333
1322.8,977.4667
1591.6,632.1333
1591.6,977.4667
