opening_mm,outer_mm,left_right_clearance_mm,top_bottom_clearance_mm,level_worst_yaw_side_clearance_mm,width_ratio,opening_area_relative,short_pvc_cut_mm,long_pvc_cut_mm
1480.8,2700.0,539.7534497653113,655.5612807279446,503.33638037649735,3.690070918906815,1.0,389.6,1560.8
1200,2419.2,399.3534497653113,515.1612807279446,362.93638037649737,2.9903329974933675,0.6567040287478757,389.6,1280
1000,2219.2,299.3534497653113,415.1612807279446,262.93638037649737,2.491944164577806,0.456044464408247,389.6,1080
800,2019.2,199.35344976531135,315.1612807279446,162.93638037649737,1.993555331662245,0.291868457221278,389.6,880
